Company Name, Telephone, Fax, Email, Website
 Eborcraft , 01904 481020,01904 481022, sales@eborcraft.co.uk,http://www.eborcraft.co.uk
 Edge Beanbags Ltd , 0118 9780042,NaN, ps@edgebeanbags.co.uk,http://www.edgebeanbags.co.uk/
 Ellis Furniture  , 01484 514212,01484 456 433, sales@ellisfurniture.co.uk,http://www.ellisfurniture.co.uk/
 Emerald Upholstery , +44 (0)1254 263939,+44 (0)1254 679245, sales@emeraldupholstery.co.uk,http://www.emeraldupholstery.co.uk/
 ercol , 01844 271 800,01844 271 888, sales@ercol.com,http://www.ercol.com
 Excellent Relax Bedding Co , 01924 441 654,01924 440 162, info@exrelax.co.uk,http://www.excellent-relax.co.uk/
 Exclusive Home , 01258 472001,01258 473884, sales@exclusive-furniture.co.uk,http://www.exclusive-furniture.co.uk/
 Exclusive HTQ Ltd (Contract) , 01258 472001,01258 473884, sales@exclusive-furniture.co.uk,http://www.exclusive-furniture.co.uk
 Forest Sofa Ltd / Forest Contract Supplying , 0161 737 6918,0161 745 7830, info@forestcontract.com,http://www.forestcontract.com
 Forest Sofa LTD Manufacturing , +44 (0) 1617 376918 ,+44 (0) 1617 457830, info@forestsofa.co.uk,http://www.forestsofa.co.uk
 Formston Evans , 01204 523424,NaN, NaN,http://www.formstonevans.co.uk/
 FourZero Designs , 07860 544950,NaN, fourzerodesigns@icloud.com,NaN
 Frank Hudson Ltd , 01494 522 011,01494 551960, info@frankhudsonoutlet.co.uk,https://www.frankhudsonoutlet.co.uk/
 Furmanac Limited , +44 (0)1384 408844,NaN, info@furmanac.com,http://www.furmanac.co.uk/
 Furnished Homes  , 01454 319 573 ,01454 317 517 , george@furnishedhomes.org,http://www.furnishedhomes.org
 Futureglass , 01376 330 300,08700 548 184, reception@futureglass.cop.uk ,http://futureglass.eu/
 G Plan Upholstery Ltd  , 01225 700 880,01225 792 397, info@gplan.co.uk,http://www.gplan.co.uk/
 Gainsborough , 01225 779 132 ,01225 779 129, sales@gainsborough-beds.co.uk,http://www.gainsborough-beds.co.uk/
 Gallery Direct , +44(0) 1795 439159,+44 (0)1795 431849 , sales@gallerydirect.co.uk,http://www.gallerydirect.co.uk/
 Gascoigne Designs Ltd  , 0115 946 4070 ,0115 946 4069, sales@gascoignedesigns.co.uk,http://www.gascoignedesigns.co.uk
 Geometric Furniture , 0161 653 2233,0161 653 2299, sales@geometric-furniture.co.uk,http://www.geometric-furniture.co.uk
 George Smith Ltd , NaN,NaN, sales@georgesmith.co.uk,http://www.georgesmith.co.uk
 Gordon Ellis & Co , 01332 810 504,01332 850 830, enquiries@gordonellis.co.uk,http://www.gordonellis.com
 Grayson London , 07807 870002,NaN, graysonlondonltd@gmail.com,https://www.graysonlondon.co.uk
 Greengate Furniture Ltd , 01494 755 400,01494 755 405, sales@greengate.co.uk,http://www.greengate.co.uk
 Hestia , +44 (0)1384 408844,NaN, info@furmanac.com,http://furmanac.co.uk/hestia_1.html
 Highgate Beds , 01924 454678,01924 459266, info@highgatebeds.com,http://www.highgatebeds.com/
 Highgrove Beds , +44 (0) 1924 406600,NaN, info@highgrovebeds.co.uk,http://www.highgrovebeds.co.uk/
 Highgrove Beds Group , +44 (0) 1924 406600,NaN, info@highgrovebeds.co.uk,http://highgrovebedsgroup.co.uk
 Highgrove Beds Group Hospitality & Contract Collection , +44 (0) 1924 406600,NaN, info@highgrovebeds.co.uk,http://highgrovebedsgroup.co.uk
 Homeserve Furniture Repairs , 01384 473000 ,01384 473009, info@homeserverepairs.co.uk,http://www.homeserverepairs.co.uk/
 HSL Manufacturing , 01924 507050,NaN, NaN,http://www.hslchairs.com/
 Hush / Sleep Collection , 01225 779135,01225 779120, orders@hush-collection.com,http://www.hush-collection.com/
 Hush-a-Bye Beds , 01225 779135,01225 738661, sales@hushabyebeds.co.uk,http://www.hushabyebeds.co.uk/
 Hyder Beds Ltd , 01924 462616,01924 498463, info@hyderbedsltd.com,http://www.hyderbedsltd.com/
 Hyder Living Ltd , 01484 531000,01484 531001, enquiries@hyderint.com,http://www.hyderint.com/
 Hypnos Limited , 01844 348 200,01844 348 099, sleep@hypnosbeds.com,http://www.hypnosbeds.com/
 Iain James Furniture , 0115 973 4481,0115 946 1018, sales@iainjamesfurniture.co.uk,http://www.iainjamesfurniture.co.uk/
 Icon Designs Ltd , 01254 662 113 ,01254 662 118 , info@icondesignsltd.com,http://www.icondesignsltd.co.uk
 Jay-Be , +44 (0) 1924 66 66 33,+44 (0) 1924 66 66 44, service@jaybe.co.uk,http://www.jaybe.com/
 John Lewis of Hungerford , 01235 774300,NaN, NaN,https://www.john-lewis.co.uk/
 Joseph Flanigan & Sons Ltd , +44 (028) 3887 1208, + 44 (028) 3887 0808, mail@flaniganfurniture.com,http://flaniganfurniture.com/
 Klever Furniture Co Limited , 03303 800 354,NaN, info@kleverfurniture.co.uk,http://kleverfurniture.co.uk/
 Lady Clare Ltd , 01453 824 482,01453 827 855, info@lady-clare.com,http://www.lady-clare.com/
 Lebus Upholstery , 01724 407751,01724 849630, sales@lebus.co.uk,http://lebus.co.uk/
 London Cabinet Makers , 0143 881 6773,NaN,  info@londoncabinetmakers.com,http://www.londoncabinetmakers.com/
 Long Eaton Craft & Design Company , 0115 946212,NaN, konrad@longeatoncraft.design,http://under construction
 MA Living Ltd , +44 (0) 1924 457 333,+44 (0) 1924 462 444, sales@maliving.co.uk,http://maliving.co.uk/
 MG Designs Upholstery , 0115 946 4888,NaN, Martin@mgdesignsupholstery.co.uk ,http://www.mgdesignsupholstery.co.uk/
 MiBed , +44 (0)1384 408844,NaN, info@furmanac.com,http://furmanac.co.uk/mibed_2.html
 Michael Tyler Furniture Ltd , 01424 756675,NaN, info@michael-tyler.co.uk,http://www.michael-tyler.co.uk
 MiChair , +44 (0)1384 408844,NaN, info@furmanac.com,http://www.furmanac.co.uk/michair_75.html
 moresleep , +44(0) 1924 406600,NaN, info@moresleepbeds.co.uk,http://moresleepbeds.com
 Myer Adams (UK) Ltd , +(0)1924 444 463,+(0)1924 470 087, sales@myeradams.com,http://www.myeradams.co.uk/
 Nagro (Frames) Ltd  , 0118 983 4700,0118 983 1350 , info@nagroframes.co.uk,http://www.nagroframes.co.uk/
 Northbrook Furniture Ltd , 0203 488 2660,NaN, info@northbrookfurniture.com,https://northbrookfurniture.com/
 Oak Tree Mobility , 0800 999 2781,NaN, online@oaktreemobility.co.uk,http://www.oaktreemobility.co.uk/
 OMK Design Limited , 020 7631 1335,020 7631 3227, enquiries@omkdesign.com,http://www.omkdesign.com/
 One Call Furniture Ltd , 0845 108 4084,0845 108 4085, sales@1cfl.com,http://www.1cfl.co.uk/
 Parker Knoll  , 01773 604121,01773 601 211 , sales@parkerknoll.co.uk,http://www.parkerknoll.co.uk/
 Revival Beds , 01777 869 669,01777 700 701, info@revivalbeds.co.uk,http://www.revivalbeds.co.uk/
 Rise & Recline Ltd , 0115 913 3572,0115 913 3570, info@riseandrecline.co.uk,https://www.riseandrecline.co.uk/
 Romantica Beds , 01924 402 258,01924 406 228, info@laromanticabeds.com,http://laromanticabeds.com/
 Royams  , 01254 665 228,01254 670 693, Royams@aol.com,http://www.royams.net/
 Rushmere Beds & Chairs Ltd , 0800 195 1338,NaN, customerservices@rushmeremobility.co.uk,https://www.rushmeremobility.co.uk/
 Sanctum , +44(0) 1924 406600,NaN, info@sanctumbeds.co.uk,http://sanctumbeds.co.uk
 Sherborne Upholstery Limited , 01274 882633,01274 815129, sales@sherborne-uph.co.uk,http://www.sherborneupholstery.co.uk/
 Shire Beds Ltd , 01924 439898,01924 450518, info@shirebeds.co.uk,http://www.shirebeds.co.uk/
 Silentnight Group , 01282 813051,01282 816926, NaN,http://www.silentnightgroup.co.uk/
 Sitting Pretty , 01773 811 610,01773 300 470, sales@spchairs.co.uk,http://www.spchairs.co.uk/
 Slumberdream , 0121 7736669,0121 7736788, Sharez@slumberdream.co.uk,http://www.slumberdream.co.uk/
 Soane Britain , +44 (0) 20 7730 6400,NaN, shop@soane.co.uk,http://www.soane.co.uk/
 Sofa Brands International Limited , 01225 792383,NaN, enquiries@sofabrands.com,http://www.sofabrands.com/
 Steve Bristow Furniture , 01626 330 337,01626 337 130, info@stevebristowfurniture.co.uk,http://stevebristowfurniture.co.uk/
 Stevenson and Key Ltd , 0115 973 4197,0115 973 4716, michael@key.uk.com,NaN
 Stoneham   , 020 8300 8181,020 8300 8183, kitchens@stoneham.plc.uk,http://www.stoneham-kitchens.co.uk/
 Swanglen Furnishings , +44(0)117 971 1200,+44(0)117 972 7212, sales@swanglen.co.uk,http://www.swanglen.co.uk/
 Taylors Beds , 01924 463304,NaN, taylorsbeds@gmail.com,http://taylorsbeds.co.uk/
 tetrad , (01772) 792936,(01772) 798319, info@tetrad.co.uk,http://www.tetrad.co.uk/
 The Cane Industries (UK) Ltd , +44 (0)1582 727 123,NaN, jonathan@caneindustries.co.uk,http://www.caneindustries.co.uk/
 The Chaise Longue Company Limited , +44 (0)1482 22 23 06,+44 (0)1482 22 23 06, info@thechaiselongueco.co.uk,http://www.thechaiselongueco.co.uk/home
 the david knight collection  , 01332 551818,01332 557775, thedavidknightcollection@btinternet.com,http://www.davidknightcollection.com/
 The Edinburgh Table Company , 01750 725870 ,NaN, info@edinburghtablecompany.co.uk,http://www.edinburghtablecompany.co.uk/
 The English Sofa Company , 0161 736 5733,NaN, info@theenglishsofacompany.co.uk,http://www.theenglishsofacompany.co.uk/
 The Lounge Co. (Furniture) Limited , 01225 792 333,NaN, customercare@theloungeco.com,https://www.theloungeco.com/
 Thomas Lloyd , 01443 771333,NaN, NaN,http://www.thomaslloyd.com/
 Timeless Chesterfield Sofas , 0161 870 9150,NaN, sales@timeless-sofas.com,http://www.timeless-sofas.com/
 TurnPost , 01937 572570,NaN, vanessa@turnpost.co.uk,http://turnpost.co.uk/
 Vale Bridgecraft , 01422 885000,01422 885916, office@valebridgecraft.co.uk,https://www.valebridgecraft.co.uk/
 Welcome Furniture Limited , NaN, NaN, sales@welcomefurniture.co.uk, http://www.welcomefurniture.co.uk/
 welters organisation worldwide , 08702 416 422 ,NaN, admin@welters-worldwide.com,http://www.welters-worldwide.com/
 Westbridge Furniture Designs Limited , 01352 714131,01352 710959, sales@westbridgefurniture.com,http://www.westbridgefurniture.com/
 Wheatcroft Beds , 01924 488145,01924 454594, info@wheatcroftbeds.co.uk,https://www.wheatcroftbeds.co.uk/
 Whiteleaf Furniture Ltd , 01844 261199,01844 261711, sales@whiteleaffurniture.co.uk,http://www.whiteleaffurniture.co.uk/
 Whitemeadow Furniture  , 01623 555660,01623 553366, enquiries@whitemeadow.com,http://www.whitemeadow.com
 William Hands , 01494 524222,01494 526508, hello@WilliamHands.com ,http://williamhands.com/
 Wood Bros (Furniture) Limited  , 01920 469 241,01920 464 388, enquiries@woodbros.co.uk ,http://www.woodbros.co.uk 
 Wren Kitchens , 01652 248480,NaN, customercare@wrenkitchens.com,https://www.wrenkitchens.com/
 Wyvern Furniture , 01299 251 100,01299 251 836, enquiries@wyvern-furniture.co.uk,http://www.wyvern-furniture.co.uk/
 3D Ply Limited , +44 (0)1258 839199,+44 (0)1258 839292, sales@3dply.co.uk,http://www.3dply.co.uk/
